id,chain,dept,category,company,brand,date,productsize,productmeasure,purchasequantity,purchaseamount
86246,205,7,707,1078778070,12564,02-03-12,12,OZ,1,7.59
86246,205,63,6319,107654575,17876,02-03-12,64,OZ,1,1.59
86246,205,97,9753,1022027929,0,02-03-12,1,CT,1,5.99
86246,205,25,2509,107996777,31373,02-03-12,16,OZ,1,1.99
86246,205,55,5555,107684070,32094,02-03-12,16,OZ,2,10.38
86246,205,97,9753,1021015020,0,02-03-12,1,CT,1,7.8
86246,205,99,9909,104538848,15343,02-03-12,16,OZ,1,2.49
86246,205,59,5907,102900020,2012,02-03-12,16,OZ,1,1.39
86246,205,9,921,101128414,9209,02-03-12,4,OZ,2,1.5
86246,205,73,7344,1068142161,20285,02-03-12,8,CT,1,5.79
86246,205,41,4107,104113040,28204,02-03-12,14.5,OZ,1,0.59
86246,205,21,2106,105100050,27873,02-03-12,64,OZ,1,3.29
86246,205,8,814,102840020,18584,02-03-12,15.5,OZ,1,3.29
86246,205,91,9122,108200080,2911,02-03-12,10,OZ,1,1.99
86246,205,41,4120,101116616,15266,02-03-12,6,OZ,1,0.89
86246,205,63,6315,107996777,31373,02-03-12,64,OZ,1,3.59
86246,205,9,907,101410010,13791,02-03-12,24,OZ,1,3.99
86246,205,97,9753,1021013323,0,02-03-12,1,CT,1,8.87
86246,205,45,4509,1082650484,59628,02-03-12,16,OZ,1,4.99
86246,205,26,2630,103700030,14647,02-03-12,56,CT,1,1
86246,205,8,815,103900030,13296,02-03-12,8,OZ,1,1.89
86246,205,81,8101,102820020,11186,02-03-12,1,CT,1,4.77
86246,205,56,5615,101116616,15266,02-03-12,16,OZ,1,6.29
86246,205,58,5824,108674585,55172,02-03-12,16,OZ,1,3.29
86246,205,9,907,107225070,12465,02-03-12,20,OZ,1,2.99
86246,205,97,9753,10000,0,02-03-12,1,CT,1,0.69
86246,205,8,836,101116616,15266,02-03-12,64,OZ,1,2.19
86246,205,19,1908,104530040,13915,02-03-12,13,OZ,1,3.69
86246,205,9,904,1078735979,6734,02-03-12,5,OZ,1,2.49
86246,205,64,6401,108066080,4098,02-03-12,144,OZ,1,14.69
86246,205,32,3204,107040474,14245,02-03-12,8,OZ,1,4.39
